energy,logdos
-128,0.6931471805599453
-120,4.852030263919617
-116,5.545177444479562
-112,8.449342524508063
-108,9.793672686528922
-104,11.887298863200714
-100,13.477180596840947
-96,15.268195474147658
-92,16.912371686315282
-88,18.59085846191256
-84,20.230089202801466
-80,21.870810400320693
-76,23.498562234123614
-72,25.114602234581373
-68,26.70699035290573
-64,28.266152815389898
-60,29.780704423363996
-56,31.241053997806176
-52,32.63856452513369
-48,33.96613536105969
-44,35.217576663643314
-40,36.3873411250109
-36,37.47007844691906
-32,38.46041522581422
-28,39.35282710786369
-24,40.141667825183845
-20,40.82130289691285
-16,41.38631975325592
-12,41.831753810069756
-8,42.153328313883975
-4,42.34770636939425
0,42.41274640460084
4,42.34770636939425
8,42.153328313883975
12,41.831753810069756
16,41.38631975325592
20,40.82130289691285
24,40.141667825183845
28,39.35282710786369
32,38.46041522581422
36,37.47007844691906
40,36.3873411250109
44,35.217576663643314
48,33.96613536105969
52,32.63856452513369
56,31.241053997806176
60,29.780704423363996
64,28.266152815389898
68,26.70699035290573
72,25.114602234581373
76,23.498562234123614
80,21.870810400320693
84,20.230089202801466
88,18.59085846191256
92,16.912371686315282
96,15.268195474147658
100,13.477180596840947
104,11.887298863200714
108,9.793672686528922
112,8.449342524508063
116,5.545177444479562
120,4.852030263919617
128,0.6931471805599453
